time_s,throughput_bps
2.500,65990400.000
3.000,66067200.000
3.500,66009600.000
4.000,65971200.000
4.500,65971200.000
5.000,65894400.000
5.500,65376000.000
6.000,66067200.000
6.500,65971200.000
7.000,66009600.000
7.500,65971200.000
8.000,66009600.000
8.500,65990400.000
9.000,66048000.000
9.500,66028800.000
10.000,65990400.000
10.500,66028800.000
11.000,65184000.000
11.500,66067200.000
12.000,66048000.000
12.500,65990400.000
13.000,66028800.000
13.500,66009600.000
14.000,66086400.000
14.500,66067200.000
15.000,66048000.000
15.500,66067200.000
16.000,66048000.000
16.500,65280000.000
17.000,65337600.000
17.500,66163200.000
18.000,66067200.000
18.500,65222400.000
19.000,65990400.000
19.500,65990400.000
20.000,66009600.000
