time_s,throughput_bps
2.500,12998400.000
3.000,13036800.000
3.500,12998400.000
4.000,12998400.000
4.500,13017600.000
5.000,12998400.000
5.500,13017600.000
6.000,12960000.000
6.500,13036800.000
7.000,12864000.000
7.500,12729600.000
8.000,12864000.000
8.500,12864000.000
9.000,12979200.000
9.500,12979200.000
10.000,12998400.000
10.500,12998400.000
11.000,13017600.000
11.500,12998400.000
12.000,13017600.000
12.500,12979200.000
13.000,12979200.000
13.500,12998400.000
14.000,12998400.000
14.500,13017600.000
15.000,12998400.000
15.500,12998400.000
16.000,12979200.000
16.500,12998400.000
17.000,13017600.000
17.500,12998400.000
18.000,12979200.000
18.500,12998400.000
19.000,12998400.000
19.500,12998400.000
20.000,13017600.000
